# key	value
toast_upgrade_feed_refill	Refill Rate +1/s
toast_upgrade_feed_efficiency	Feed Boost +10%
toast_upgrade_auto	Automation Unlocked
tier_unlocked_1_title	Tier 1 Unlocked
tier_unlocked_1_body	Grid Stable and Economy Growing.\nAutomation efficiency +10 %. Systems nominal.
tier_unlocked_1_tooltip	Tier 1 achieved after sustained grid stability. Conveyor throughput increased by 10 %.
debug_overlay_title	DEBUG OVERLAY
debug_overlay_pps	PPS: {pps}
debug_overlay_seed	Seed: {seed}
debug_overlay_storage	Storage: {storage} / {capacity} ({percent}%)
debug_overlay_wallet	Credits: {wallet}
debug_overlay_capacity	Capacity: {soft} / {capacity}
debug_overlay_feed	Feed: {pct}% | State {state} | Refill {seconds}s
debug_overlay_feed_on	ON
debug_overlay_feed_off	OFF
debug_overlay_tier	Tier: {tier} ({name})
debug_overlay_research	Research multipliers: prod={prod} cap={cap} auto_cd={auto}
debug_overlay_total	Total earned: {total}
debug_overlay_reputation	Reputation: {stars} (+{next})
debug_overlay_logging	Logging: {status} | size {size} | rotations {rotations}
debug_overlay_balance_md5	Balance md5: {hash}
debug_overlay_save_hash	Save hash: {hash}
debug_overlay_tail_title	--- Log Tail ---
pollution_label	Pollution
stress_label	Stress
reputation_label	Reputation
environment_label	Environment Status
environment_stage_backyard	Backyard
environment_title	Environment
environment_toggle_details	Details
environment_preset_selector_tooltip	Switch environment preset
environment_temperature	Temperature
environment_light	Light
environment_humidity	Humidity
environment_air_quality	Air Quality
environment_pollution	Pollution
environment_stress	Stress
environment_reputation	Reputation
environment_feed_modifier	Feed Modifier
environment_power_modifier	Power Modifier
environment_prestige_modifier	Prestige Modifier
environment_comfort_index	Comfort Index
environment_comfort_bonus	Comfort Bonus
environment_phase_dawn	Dawn
environment_phase_day	Day
environment_phase_dusk	Dusk
environment_phase_night	Night
environment_temperature_tooltip	Heat curve shaping flock comfort and feed efficiency.
environment_light_tooltip	Ambient light feeds power bonuses and morale moods.
environment_humidity_tooltip	High humidity raises feed demand and stress.
environment_air_quality_tooltip	Clean air boosts reputation and prestige earnings.
environment_pollution_tooltip	Waste and emissions scraping at air quality.
environment_stress_tooltip	Stress slows production and shrinks automation windows.
environment_reputation_tooltip	Public sentiment toward the farm this cycle.
environment_feed_modifier_tooltip	Current multiplier applied to feed-driven PPS gains.
environment_power_modifier_tooltip	Current multiplier on generators and solar sources.
environment_prestige_modifier_tooltip	Multiplier affecting rebrand star value.
environment_comfort_index_tooltip	Sandbox serenity score (0–100) powering the comfort bonus.
environment_comfort_bonus_tooltip	Live PPS boost granted by the comfort index (capped at +5%).
